TotalToDos,TotalTasksAssigned,TotalTasksCompleted,TotalChecklistsAssigned,TotalChecklistsCompleted,TotalInfractions,TotalShiftSubmissionsCreated,TotalShiftSubmissionsCompleted,SetupsCreated,TotalBreaksRan,TotalCreatedPlays,TotalWastedItems,FirstWasteDate,TotalWastedItemsAllTime,TopPerformances,10PointRecognition,25PointRecognition,50PointRecognition,TotalRewardsRedeemed,TenantID,StoreName,StoreNumber,WasteOnly,CreationDate,State
931,111,112,310,285,109,258,186,170,0,4,6290,2023-01-02 16:15:56,18997,333,4,2,0,0,CFA_233881007,Chick-fil-A at Peace Haven,01186,false,2022-12-12 19:08:57,NC
0,0,0,0,0,0,0,0,0,0,0,,2022-10-24 10:34:49,5,0,0,0,0,0,CFA_236726180,Gresham Village,04382,true,2022-10-22 12:29:19,OR
7,0,0,2,1,37,0,0,0,0,5,1176,2022-11-30 14:53:27,6756,0,3,1,0,0,CFA_241577041,North Decatur,03923,false,2022-11-28 21:48:07,GA
0,0,0,0,0,0,0,0,0,0,19,,2022-12-13 09:30:09,2,0,16,2,13,2,CFA_250134080,Promenade at Castle Rock,04027,false,2022-12-02 18:33:14,CO
95,60,61,18,1,0,10,0,39,355,8,441,2022-12-29 18:44:06,815,0,0,0,0,0,CFA_251225441,Del Rio FSU,03180,false,2022-11-26 03:01:11,TX
968,36,37,931,598,0,0,0,324,1044,4,1842,2022-12-09 21:39:31,9552,0,41,28,13,0,CFA_257987129,Chick-fil-A Corinth,04986,false,2022-12-10 02:11:25,MS
0,0,0,0,0,0,0,0,0,0,0,,2022-05-06 14:40:00,46599,0,0,0,0,0,CFA_262271928,5th Street Hwy FSR,04200,true,2022-10-22 12:29:19,PA
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CFA_26281130,Polaris Parkway FSU,01501,false,2022-10-22 12:29:19,OH
18,0,0,6,2,0,6,0,0,0,14,3320,2023-01-03 11:14:08,9380,3,0,0,0,0,CFA_263226535,Chick-fil-A of Watauga,01195,false,2022-12-30 20:20:04,TX
1412,245,275,1070,685,38,0,0,441,8,33,3467,2022-12-17 14:41:42,5119,1,59,36,54,1,CFA_265137496,Chick-fil-A Manhattan (KS),03278,false,2022-12-13 17:05:09,KS
237,125,156,9,7,119,3,0,0,0,8,14104,2022-12-19 09:08:59,44130,1,58,92,199,1,CFA_274369609,38th & Steele,03318,false,2022-12-13 20:05:58,WA
1294,62,65,1135,570,40,25,14,216,152,18,42,2022-11-30 18:49:33,48,16,8,0,0,4,CFA_276010442,North Academy & I-25,01690,false,2022-11-30 19:01:35,CO
17,4,5,12,9,0,0,0,1,0,2,283,2023-02-06 19:22:45,932,0,7,2,2,0,CFA_278685868,NorthPark Center,01928,false,2022-12-31 03:38:45,TX
0,0,0,0,0,0,0,0,0,0,1,,2022-12-29 13:56:04,19921,0,3,0,0,0,CFA_293312694,Petal,05234,false,2022-12-29 17:09:59,MS
0,0,0,0,0,0,0,0,0,0,0,,2022-10-10 09:04:02,5,0,0,0,0,0,CFA_307576960,Weatherford,01697,false,2022-10-22 12:29:19,TX
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,CFA_32113926,Empire Place,04566,false,2022-12-01 00:22:32,SD
